Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Fallout 3 Game Add-On Pack - The Pitt and Operation Anchorage,"RPG de ação, Mundo aberto",Bethesda Game Studios,Bethesda Softworks,16 de julho de 2009,22 de novembro de 2013,22 de novembro de 2013,22 de novembro de 2013
Fallout: New Vegas,RPG de ação,Obsidian Entertainment,Bethesda Softworks,19 de outubro de 2010,19 de outubro de 2010,22 de outubro de 2010,21 de outubro de 2010
Family Feud 2012,Trivia,Pipeworks Studios,THQ,18 de outubro de 2012,18 de outubro de 2012,Não lançado,Não lançado
Family Guy: Back to the Multiverse,Ação & Aventura,Heavy Iron Studios,Activision,20 de novembro de 2012,23 de novembro de 2012,21 de novembro de 2012,Não lançado
"Fancy Pants Adventures, TheThe Fancy Pants Adventures",Plataforma,Borne Games/Over the Top Games,Electronic Arts,20 de abril de 2011,-,-,-
Fantasia: Music Evolved,-,Harmonix Music Systems,Microsoft Studios,21 de outubro 2014,24 de outubro 2014,23 de outubro 2014,TBA
Fantastic Four: Rise of the Silver Surfer,"Ação & Aventura, Tiro em terceira pessoa",Visual Concepts,2K Games,15 de junho de 2007,15 de junho de 2007,Não lançado,22 de novembro de 2013
Fantastic Pets,-,Blitz Games Studios,THQ,12 de abril de 2011,15 de abril de 2011,14 de abril de 2011,TBA
Far Cry 2,"Tiro em primeira pessoa, Mundo aberto",Ubisoft Montreal,Ubisoft,21 de outubro de 2008,24 de outubro de 2008,27 de novembro de 2008,22 de novembro de 2013
Far Cry 3,"Tiro em primeira pessoa, Mundo aberto",Ubisoft Montreal,Ubisoft,4 de dezembro de 2012,29 de novembro de 2012,29 de novembro de 2012,22 de novembro de 2013
Far Cry 3: Blood Dragon,Tiro,Ubisoft Montreal,Ubisoft,1 de maio de 2013,-,-,-
Far Cry 4,"Tiro em primeira pessoa, Mundo aberto",Ubisoft Montreal,Ubisoft,18 de novembro de 2014,20 de novembro de 2014,21 de novembro de 2014,22 de novembro de 2013
Far Cry Compilation,"Tiro em primeira pessoa, Mundo aberto",Ubisoft Montreal,Ubisoft,2 de novembro de 2014,2 de novembro de 2014,Não lançado,22 de novembro de 2013
Far Cry Instincts Predator,Tiro em primeira pessoa,Ubisoft Montreal,Ubisoft,28 de março de 2006,31 de março de 2006,Não lançado,22 de novembro de 2013
Far Cry Classic,Tiro,Crytek,Ubisoft,11 de fevereiro de 2014,-,-,-
Farming Simulator,Simulação,Giants Software,Focus Home Interactive,6 de setembro de 2013,6 de setembro de 2013,6 de setembro de 2013,22 de novembro de 2013
Farming Simulator 15,Simulação,Giants Software,Focus Home Interactive,19 de maio de 2015,19 de maio de 2015,Não lançado,22 de novembro de 2013
Fast & Furious: Showdown,Corrida,Firebrand Games,Activision,21 de maio de 2013,24 de maio de 2013,22 de maio de 2013,22 de novembro de 2013
Fatal Fury Special,Clássico,SNK,SNK,5 de setembro de 2007,-,-,-
Fatal Inertia,Corrida,Stormfront Studios,Vivendi Games,11 de setembro de 2007,14 de setembro de 2007,6 de setembro de 2007,22 de novembro de 2013
Feeding Frenzy,Ação & Aventura,PopCap Games,Microsoft Studios,15 de março de 2006,-,-,-
Feeding Frenzy 2: Shipwreck Showdown,Ação & Aventura,PopCap Games,PopCap Games,17 de setembro de 2008,-,-,-
Fez,Ação & Aventura,Polytron Corporation,Microsoft Studios,13 de abril de 2012,-,-,-
FIFA 06: Road to FIFA World Cup,Esportes,EA Canada,EA Sports,22 de novembro de 2005[1],2 de dezembro de 2005,10 de dezembro de 2005,Não lançado
FIFA 07,Esportes,EA Canada,EA Sports,31 de outubro de 2006,27 de outubro de 2006,Não lançado,22 de novembro de 2013
FIFA 08,Esportes,EA Canada,EA Sports,9 de outubro de 2007,28 de setembro de 2007,20 de dezembro de 2007,22 de novembro de 2013
FIFA 09,Esportes,EA Canada,EA Sports,14 de outubro de 2008,3 de outubro de 2008,18 de novembro de 2008,22 de novembro de 2013
FIFA 10,Esportes,EA Canada,EA Sports,20 de outubro de 2009,2 de outubro de 2009,Não lançado,22 de novembro de 2013
FIFA 11,Esportes,EA Canada,EA Sports,28 de setembro de 2010,1 de outubro de 2010,30 de setembro de 2010,22 de novembro de 2013
FIFA 12,Esportes,EA Canada,EA Sports,27 de setembro de 2011,29 de setembro de 2011,Não lançado,22 de novembro de 2013
FIFA 13,Esportes,EA Canada,EA Sports,25 de setembro de 2012,28 de setembro de 2012,Não lançado,22 de novembro de 2013
FIFA 14,Esportes,EA Canada,EA Sports,23 de setembro de 2013,25 de setembro de 2013,Não lançado,22 de novembro de 2013
FIFA 15,Esportes,EA Canada,EA Sports,23 de setembro de 2014,25 de setembro de 2014,Não lançado,22 de novembro de 2013
FIFA 16,Esportes,EA Canada,EA Sports,22 de setembro de 2015,24 de setembro de 2015,Não lançado,22 de novembro de 2013
FIFA 17,Esportes,EA Canada,EA Sports,27 de setembro de 2016,29 de setembro de 2016,Não lançado,22 de novembro de 2013
FIFA 18 Legacy Edition,Esportes,EA Canada,EA Sports,29 de setembro de 2017,29 de setembro de 2017,Não lançado,29 de setembro de 2017
FIFA 19 Legacy Edition,Esportes,EA Canada,EA Sports,28 de setembro de 2018,28 de setembro de 2018,Não lançado,28 de setembro de 2018
FIFA Street,Esportes,EA Canada,EA Sports,13 de março de 2012,16 de março de 2012,Não lançado,22 de novembro de 2013
FIFA Street 3,Esportes,EA Canada,EA Sports BIG,18 de fevereiro de 2008,22 de fevereiro de 2008,5 de junho de 2008,22 de novembro de 2013
Fight Night Champion,Esportes,EA Canada,EA Sports,1 de março de 2011,4 de março de 2011,Não lançado,22 de novembro de 2013
Fight Night Round 3,Esportes,EA Chicago,EA Sports,20 de fevereiro de 2006,10 de março de 2006,30 de março de 2006,22 de novembro de 2013
Fight Night Round 4,Esportes,EA Canada,EA Sports,30 de junho de 2009,26 de junho de 2009,Não lançado,22 de novembro de 2013
Fighters Uncaged,-,AMA Studios,Ubisoft,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,26 de maio de 2011
Fighting Vipers,Luta,Sega,Sega,28 de novembro de 2012,-,-,-
Final Exam,Ação & Aventura,Mighty Rocket Studio,Focus Home Interactive,8 de novembro de 2013,-,-,-
Final Fantasy XI: Seekers of Adoulin,MMORPG,Square Enix,Square Enix,26 de março de 2013,26 de março de 2013,26 de março de 2013,22 de novembro de 2013
Final Fantasy XI: Vana'diel Collection 2008,MMORPG,Square Enix,Square Enix,20 de novembro de 2007,23 de novembro de 2007,22 de novembro de 2007,22 de novembro de 2013
Final Fantasy XI: Wings of the Goddess,MMORPG,Square Enix,Square Enix,20 de novembro de 2007,23 de novembro de 2007,22 de novembro de 2007,22 de novembro de 2013
Final Fantasy XI[nota 20],MMORPG,Square Enix,Square Enix,16 de abril de 2006,21 de abril de 2006,20 de abril de 2006,22 de novembro de 2013
Final Fantasy XIII,RPG eletrônico,Square Enix,Square Enix,9 de março de 2010,9 de março de 2010,16 de dezembro de 2010,22 de novembro de 2013
Final Fantasy XIII-2,RPG eletrônico,Square Enix,Square Enix,31 de janeiro de 2012,3 de fevereiro de 2012,15 de dezembro de 2011,22 de novembro de 2013
"Final Fight: Double Impact(Final Fight, Magic Sword)",Clássico,Proper Games,Capcom,14 de abril de 2010,-,-,-
Fire Pro Wrestling,Luta,Spike,Microsoft Studios,21 de setembro de 2012,-,-,-
Fireburst,Corrida & Voo,IndiePub,Bigben Interactive,14 de junho de 2013,-,-,-
Fist of the North Star: Ken's Rage 2[nota 21],Beat 'em up,Koei,Tecmo Koei,5 de fevereiro de 2013,8 de fevereiro de 2013,20 de dezembro de 2012,22 de novembro de 2013
Fist of the North Star: Ken's Rage[nota 22],Beat 'em up,Omega Force,Koei,2 de novembro de 2010,5 de novembro de 2010,25 de março de 2010,22 de novembro de 2013
Flashback,Plataforma,VectorCell,Ubisoft,21 de agosto de 2013,-,-,-
FlatOut: Ultimate Carnage,"Corrida, Combate veicular",Bugbear Entertainment,Empire Interactive,2 de outubro de 2007,22 de junho de 2007,24 de abril de 2008,22 de novembro de 2013
Flock!,Ação & Aventura,Proper Games,Capcom,8 de abril de 2009,-,-,-
Football Genius: The Ultimate Quiz,Esportes & Recreação,RTL Sports,I-Imagine Interactive,30 de setembro de 2009,-,-,-
Football Manager 2006,Gestão desportiva,Sports Interactive,Sega Europe,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Football Manager 2007,Gestão desportiva,Sports Interactive,Sega Europe,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Football Manager 2008,Gestão desportiva,Sports Interactive,Sega Europe,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Forza Horizon,"Corrida, Mundo aberto","Playground Games, Turn 10 Studios",Microsoft Studios,23 de outubro de 2012,26 de outubro de 2012,25 de outubro de 2012,22 de novembro de 2013
Forza Horizon 2,"Corrida, Mundo aberto","Sumo Digital, Turn 10 Studios",Microsoft Studios,30 de setembro de 2014,30 de setembro de 2014,30 de setembro de 2014,22 de novembro de 2013
Forza Motorsport 2,Corrida,Turn 10 Studios,Microsoft Game Studios,29 de maio de 2007,8 de junho de 2007,24 de maio de 2007,22 de novembro de 2013
Forza Motorsport 3,Corrida,Turn 10 Studios,Microsoft Game Studios,27 de outubro de 2009,23 de outubro de 2009,22 de outubro de 2009,22 de novembro de 2013
Forza Motorsport 4,Corrida,Turn 10 Studios,Microsoft Studios,11 de outubro de 2011,14 de outubro de 2011,20 de outubro de 2011,22 de novembro de 2013
Foul Play,Ação & Aventura,Mediatonic,Mastertronic Group,18 de setembro de 2013,-,-,-
Fracture,Tiro em terceira pessoa,Wargaming Chicago-Baltimore,LucasArts,7 de outubro de 2008,10 de outubro de 2008,30 de outubro de 2008,22 de novembro de 2013
Freefall Racers,Kinect,Smoking Gun Interactive,Deep Silver,6 de setembro de 2013,-,-,-
Fret Nice,Plataforma,Pieces Interactive,Koei Tecmo,24 de fevereiro de 2010,-,-,-
Frogger,Clássico,Konami/Digital Eclipse,Konami,12 de julho de 2006,-,-,-
Frogger 2,Ação & Aventura,"Voltex, Inc.",Konami,11 de junho de 2008,-,-,-
Frogger: Hyper Arcade Edition,Clássico,Zombie Studios,Konami,6 de julho de 2012,-,-,-
From Dust,Estratégia & Simulação,Ubisoft Montpellier,Ubisoft,27 de julho de 2011,-,-,-
Front Mission Evolved,"Combate veicular, Tiro em terceira pessoa",Double Helix Games,Square Enix,28 de setembro de 2010,8 de outubro de 2010,16 de setembro de 2010,22 de novembro de 2013
Frontlines: Fuel of War,"Tiro em primeira pessoa, Ação",Kaos Studios,THQ,25 de fevereiro de 2008,29 de fevereiro de 2008,24 de abril de 2008,22 de novembro de 2013
Frozen Free Fall: Snowball Fight,Puzzle & Trivia,SuperVillain Studios,Disney Interactive Studios,15 de setembro de 2015,-,-,-
Fruit Ninja Kinect,Kinect,Halfbrick Studios,Microsoft Studios,10 de agosto de 2011,-,-,-
Fuel,"Corrida, Mundo aberto",Asobo Studio,Codemasters,2 de junho de 2009,12 de junho de 2009,Não lançado,22 de novembro de 2013
Full Auto,Combate veicular,Pseudo Interactive,Sega,14 de fevereiro de 2006,10 de fevereiro de 2006,28 de setembro de 2006,22 de novembro de 2013
Full House Poker,Cartas,Microsoft Studios/Krome Studios,Microsoft Studios,16 de março de 2011,-,-,-
Big League Sports,Esportes,Koolhaus Games,Activision,8 de novembro de 2011,11 de novembro de 2011,TBA,TBA
FunTown Mahjong,Cartas,FunTown World,Microsoft Studios,28 de janeiro de 2009,-,-,-
Fuse,Ação,Insomniac Games,Electronic Arts,28 de maio de 2013,31 de maio de 2013,Não lançado,22 de novembro de 2013
Fusion: Genesis,Tiro,Starfire Studio,Microsoft Studios,9 de novembro de 2011,-,-,-
Fuzion Frenzy 2,Jogo em grupo,Hudson Soft,Microsoft Game Studios,30 de janeiro de 2007,16 de fevereiro de 2007,8 de fevereiro de 2007,22 de novembro de 2013
G.I. Joe: The Rise of Cobra,Ação,Double Helix Games,Electronic Arts,4 de agosto de 2009,7 de agosto de 2009,Não lançado,22 de novembro de 2013
Gal*Gun,Shoot 'em up,Inti Creates,Alchemist,Não lançado,Não lançado,27 de janeiro de 2011,22 de novembro de 2013
Galaga,Clássico,Namco,Namco,26 de julho de 2006,-,-,-
Galaga Legions,Tiro,Namco,Namco,20 de agosto de 2008,-,-,-
Galaga Legions DX,Tiro,Namco Bandai Games,Namco Bandai Games,29 de junho de 2011,-,-,-
Game of Thrones,RPG de ação,Cyanide Studios,Atlus,15 de maio de 2012,8 de junho de 2012,Não lançado,22 de novembro de 2013
Game of Thrones,Aventura gráfica,Telltale Games,Telltale Games,3 de dezembro de 2014,3 de fevereiro de 2014,Não lançado,22 de novembro de 2013
Game of Thrones -Episode 1: Iron From Ice,Ação & Aventura,Telltale Games,Telltale Games,3 de dezembro de 2014,-,-,-
Game Party: In Motion,-,FarSight Studios,Warner Bros. Interactive Entertainment,18 de novembro de 2010,26 de novembro de 2010,9 de dezembro de 2010,TBA
Garou: Mark of the Wolves,Clássico,SNK,SNK,24 de junho de 2009,-,-,-
Gatling Gears,Ação & Aventura,Vanguard Games,Electronic Arts,11 de maio de 2011,-,-,-
Gauntlet,Clássico,Midway Games/Digital Eclipse,Midway Games,22 de novembro de 2005,-,-,-
Gears of War,Tiro em terceira pessoa,Epic Games,Microsoft Game Studios,7 de novembro de 2006,17 de novembro de 2006,18 de janeiro de 2007,22 de novembro de 2013
Gears of War 2,Tiro em terceira pessoa,Epic Games,Microsoft Game Studios,7 de novembro de 2008,7 de novembro de 2008,30 de julho de 2009,22 de novembro de 2013
Gears of War 3,Tiro em terceira pessoa,Epic Games,Microsoft Studios,20 de setembro de 2011,20 de setembro de 2011,22 de setembro de 2011,22 de novembro de 2013
Gears of War: Judgment,Tiro em terceira pessoa,People Can Fly,Microsoft Studios,19 de março de 2013,22 de março de 2013,21 de março de 2013,22 de novembro de 2013
Gel: Set & Match,Puzzle & Trivia,Gastronaut Studios,Microsoft Studios,20 de maio de 2009,-,-,-
Generator Rex: Agent of Providence,Ação & Aventura,Activision,Activision,1 de novembro de 2011,4 de novembro de 2011,Não lançado,22 de novembro de 2013
Geometry Wars 3: Dimensions,Ação & Aventura,Lucid Games,Activision,25 de novembro de 2014,-,-,-
Geometry Wars: Retro Evolved 2,Ação & Aventura,Bizarre Creations,Microsoft Studios,30 de julho de 2008,-,-,-
Geometry Wars: Retro Evolved,Ação & Aventura,Bizarre Creations,Microsoft Studios,22 de novembro de 2005,-,-,-
Geon: Emotions,Ação & Aventura,Strawdog Studios,Square Enix,19 de setembro de 2007,-,-,-
Get Fit With Mel B,-,Lightning Fish,"Deep Silver, Black Bean Games",Não lançado,26 de novembro de 2010,Não lançado,Não lançado
G-Force,"Ação, Plataforma",Eurocom,Disney Interactive Studios,21 de julho de 2009,21 de julho de 2009,Não lançado,22 de novembro de 2013
Ghostbusters: Sanctum of Slime,Tiro,Behaviour Interactive,Atari,23 de março de 2011,-,-,-
Ghostbusters: The Video Game,"Ação & Aventura, Tiro em terceira pessoa","Terminal Reality, Threewave Software",Atari,16 de junho de 2009,19 de junho de 2009,Não lançado,22 de novembro de 2013
Giana Sisters: Twisted Dreams,Ação & Aventura,Black Forest Games,bitComposer Interactive,20 de março de 2013,-,-,-
Gin Rummy,Cartas,Studios Ch'in,Activision,3 de setembro de 2008,-,-,-
Ginga Force,Shoot 'em up,Qute,Qute,Não lançado,Não lançado,30 de agosto de 2012,22 de novembro de 2013
Girl Fight,Luta,Kung Fu Factory,Majesco Entertainment,25 de setembro de 2013,-,-,-
Go! Go! Break Steady,Família & Educacional,Little Boy Games,Microsoft Studios,23 de julho de 2008,-,-,-
Goat Simulator,Ação & Aventura,Double Eleven,Double Eleven,17 de abril de 2015,-,-,-
Goat Simulator: Mmore Goatz Edition,Ação & Aventura,Double Eleven,Double Eleven,26 de agosto de 2015,-,-,-
God Mode,Tiro,Old School Games,Atlus,19 de abril de 2013,-,-,-
Golden Axe,Clássico,Sega/Digital Eclipse,Sega,11 de julho de 2007,-,-,-
Golden Axe: Beast Rider,Hack and slash,Secret Level,Sega,14 de outubro de 2008,17 de outubro de 2007,Não lançado,22 de novembro de 2013
GoldenEye 007: Reloaded,Tiro em primeira pessoa,Eurocom,Activision,1 de novembro de 2011,4 de novembro de 2011,Não lançado,22 de novembro de 2013
Golf: Tee It Up!,Esportes & Recreação,Housemarque,Activision,9 de julho de 2008,-,-,-
Goosebumps: The Game,Ação & Aventura,WayForward Technologies,GameMill Entertainment,14 de outubro de 2015,-,-,-
Gotham City Impostors,Tiro,Monolith Productions,Warner Bros. Interactive Entertainment,8 de fevereiro de 2012,-,-,-
Grand Slam Tennis 2,Esportes,EA Canada,EA Sports,12 de fevereiro de 2012,10 de fevereiro de 2012,Não lançado,22 de novembro de 2013
Grand Theft Auto IV[nota 23],"Ação & Aventura, Mundo aberto",Rockstar North,"Rockstar Games, CapcomJP",29 de abril de 2008,29 de abril de 2008,30 de outubro de 2008,22 de novembro de 2013
Grand Theft Auto V,"Ação & Aventura, Mundo aberto",Rockstar North,Rockstar Games,17 de setembro de 2013,17 de setembro de 2013,17 de setembro de 2013,22 de novembro de 2013
Grand Theft Auto: Episodes from Liberty City[nota 24],"Ação & Aventura, Mundo aberto, Compilação",Rockstar North,Rockstar Games,29 de outubro de 2009,29 de outubro de 2009,Não lançado,22 de novembro de 2013
Grand Theft Auto: San Andreas,"Ação & Aventura, Mundo aberto",Rockstar North,Rockstar Games,30 de junho de 2015,17 de julho de 2015,17 de julho de 2015,22 de novembro de 2013
Gray Matter,Aventura,Wizarbox,DTP Entertainment,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Grease Dance,-,Zoë Mode,505 Games,25 de outubro de 2011,4 de novembro de 2011,TBA,TBA
Greed Corp,Estratégia & Simulação,W!Games,Valcon Games,24 de fevereiro de 2010,-,-,-
Green Day: Rock Band,Música,Harmonix,MTV Games,8 de junho de 2010,11 de junho de 2010,Não lançado,22 de novembro de 2013
Green Lantern: Rise of the Manhunters,Ação,Double Helix Games,Warner Bros. Interactive Entertainment,7 de junho de 2011,10 de junho de 2011,Não lançado,22 de novembro de 2013
Greg Hastings Paintball 2,Tiro em primeira pessoa,Majesco Entertainment,Activision,14 de setembro de 2010,14 de setembro de 2010,Não lançado,22 de novembro de 2013
Grid 2,Corrida,Codemasters Southam,Codemasters,28 de maio de 2013,31 de maio de 2013,25 de julho de 2013,22 de novembro de 2013
Grid Autosport,Corrida,Codemasters Southam,Codemasters,24 de junho de 2014,27 de junho de 2014,24 de junho de 2014,22 de novembro de 2013
GripShift,Corrida & Voo,Sidhe Interactive,Microsoft Studios,12 de dezembro de 2007,-,-,-
Guacamelee!: Super Turbo Championship Edition,Ação & Aventura,DrinkBox Studios,Activision,2 de julho de 2014,-,-,-
Guardian Heroes,Ação & Aventura,Treasure,Sega,12 de outubro de 2011,-,-,-
Guardians of Middle-earth,Estratégia & Simulação,Monolith Productions,Warner Bros. Interactive Entertainment,5 de dezembro de 2012,-,-,-
Guilty Gear 2: Overture,"Ação & Aventura, RTS",Arc System Works,505 Games,7 de outubro de 2008,25 de setembro de 2009,29 de novembro de 2007,22 de novembro de 2013
Guilty Gear XX Λ Core Plus,Luta,Arc System Works,Arc System Works,24 de outubro de 2012,-,-,-
Guitar Hero 5,Música,Neversoft,Activision,1 de setembro de 2009,11 de setembro de 2009,Não lançado,22 de novembro de 2013
Guitar Hero II,Música,Harmonix,"RedOctane, Activision",3 de abril de 2007,6 de abril de 2007,Não lançado,22 de novembro de 2013
Guitar Hero III: Legends of Rock,Música,Neversoft,Activision,28 de outubro de 2007,23 de novembro de 2007,19 de junho de 2008,22 de novembro de 2013
